mp-1000, BaTe
mp-1002124, HfC
mp-1002164, GeC
mp-10044, BAs
mp-1008223, CaSe
mp-1008506, BaGaSiH
mp-1008556, AlGaN2
mp-1008559, BP
mp-10086, YSF
mp-1008680, TiGePt
mp-1008786, MgTe
mp-1009009, LiF
mp-1009082, MgSnAs2
mp-1009084, BeSnAs2
mp-1009085, BeSiP2
mp-1009087, BeSiAs2
mp-1009088, BeGeAs2
mp-1009127, MgO
mp-1009129, MgO
mp-1009220, NaH
mp-1009540, OsC
mp-1009733, Ca2Si
mp-1009750, ScN
mp-1009792, RuC
mp-1009813, SiSn
mp-1009819, SrO
mp-1009820, SnC
mp-1009894, ZrC
mp-1011695, Cs2Se
mp-1014244, ZrZnN2
mp-10155, P2Ir
mp-10159, K3Sb
mp-10163, NaAlTe2
mp-10167, Na3SbS4
mp-1018040, MgSe
mp-1018096, Ba2NF
mp-1018100, AlSb
mp-10182, LiZnP
mp-1020019, Li2PNO2
mp-1020059, LiGe2N3
mp-10219, YOF
mp-1022, K2S
mp-10223, Na2PdS2
mp-10226, NaYS2
mp-10246, Na2PtS2
mp-10250, BaLiF3
mp-10281, ZnS
mp-10289, Ca(BC)2
mp-1029, BaF2
mp-10322, BaHfN2
mp-10336, BaYCuTe3
mp-10341, SrGeTeO6
mp-10378, Cs3Sb
mp-10381, K2CuSb
mp-1039, MgTe
mp-10408, K2CN2
mp-10417, KSbO2
mp-10418, RbSbO2
mp-10474, NaPF6
mp-10481, RbAg3Te2
mp-10485, BaLiSb
mp-10492, Rb2SiF6
mp-10547, RbAuO
mp-10550, SrMg2N2
mp-10572, NaPN2
mp-10614, SrLiP
mp-10615, BaLiP
mp-10616, BaLiAs
mp-10627, SrS
mp-10653, SrTe
mp-10680, BaSe
mp-10694, ScF3
mp-10695, ZnS
mp-1070, CdSe
mp-10748, TaCu3S4
mp-10760, MgSe
mp-10776, K2Sn(AsS3)2
mp-1087, SrS
mp-10918, Rb2PdC2
mp-10919, Rb2PtC2
mp-10955, Sn(HgSe2)2
mp-10969, CdCN2
mp-10985, RbCu3S2
mp-11019, GaCuO2
mp-11020, GaAgO2
mp-11022, ScAgO2
mp-1105, BaO2
mp-1106, Sr2Si
mp-11123, CsYHgSe3
mp-11175, LiZnPS4
mp-11265, BaCaSn
mp-11327, Rb2Se
mp-1138, LiF
mp-1143, Al2O3
mp-11520, YNiSb
mp-1153, Li2S
mp-11583, Zr2SN2
mp-11659, BaTi(BO3)2
mp-11674, Al2Se3
mp-11695, Rb2Pd3S4
mp-11703, KSbS2
mp-11713, SiC
mp-11714, SiC
mp-11715, MgSn(BO3)2
mp-11718, RbF
mp-11719, K4ZnP2
mp-11739, KLaTe2
mp-11824, Ca3PN
mp-11869, HfSnPd
mp-1190, ZnSe
mp-11917, Mg(BeN)2
mp-11918, Ca(BeN)2
mp-11919, Sr(BeN)2
mp-12015, KAg2AsO4
mp-12016, Rb2SiS3
mp-12317, SrCN2
mp-12385, Ba2YTaO6
mp-12418, SrCaGe
mp-12427, Sr2TaGaO6
mp-1243, Ga2O3
mp-12442, KAuF6
mp-12444, SrCuSF
mp-1247, Sb2Ir
mp-1249, MgF2
mp-12491, CsLaCdTe3
mp-12509, YZnPO
mp-12525, Sr2LiReO6
mp-1253, BaSe
mp-12532, KAg2PS4
mp-12535, K2ZnTe2
mp-12558, LiMgAs
mp-12622, SrPdF4
mp-12623, BaPdF4
mp-1265, MgO
mp-1266, Na2Se
mp-12779, CdTe
mp-12814, Ba3SbN
mp-1285, PtO2
mp-1287, KS
mp-12885, BaAl2Sb2O7
mp-12894, Y2SO2
mp-12903, YAgTe2
mp-12908, ScAgSe2
mp-12927, Ba(BeN)2
mp-12954, CuBS2
mp-12992, BaTiO3
mp-13031, MgSe
mp-13032, MgS
mp-13033, MgTe
mp-13055, Ba2LaTaO6
